Well(s):,PUNG00048D1,,,,,,,,,,Date:,Mei 2020,,,,,,,,,,,,,
T,P,,Halite,,,,,,,,MeOH (STB),0,,,,,,,,,,,,,
°F,psia,SI,Delta SI,mg/L*,,,,,,,MEG(STB),0,,,,,,,,,,,,,
181.4,180,-2.5559331221317123,-2.4395291506440486e-05,0,,,,,,,,,,,,,,,,,,,,,
181.4,180,-2.5559331221317123,-2.4395291506440486e-05,0,,,,,,,,,,,,,,,,,,,,,
181.4,180,-2.5559331221317123,-2.4395291506440486e-05,0,,,,,,,,,,,,,,,,,,,,,
181.4,180,-2.5559331221317123,-2.4395291506440486e-05,0,,,,,,,,,,,,,,,,,,,,,
181.4,180,-2.5559331221317123,-2.4395291506440486e-05,0,,,,,,,,,,,,,,,,,,,,,
181.4,180,-2.5559331221317123,-2.4395291506440486e-05,0,,,,,,,,,,,,,,,,,,,,,
181.4,180,-2.5559331221317123,-2.4395291506440486e-05,0,,,,,,,,,,,,,,,,,,,,,
181.4,180,-2.5559331221317123,-2.4395291506440486e-05,0,,,,,,,,,,,,,,,,,,,,,
181.4,180,-2.5559331221317123,-2.4395291506440486e-05,0,,,,,,,,,,,,,,,,,,,,,
181.58,180,-2.555908726840206,0,0,,,0,,,,,,,,,,,,,,,,,,
User Input (T and P):,,,,,,,,,,,,,,,,,,,,,,,,,
T=,77,P=,14.699999999999818,SI=,,mg/L=,,,,,,,,,,,,,,,,,,,
T=,106.22222222222223,P=,790.844444444444,SI=,,mg/L=,,,,,,,,,,,,,,,,,,,
T=,135.44444444444446,P=,1566.9888888888881,SI=,,mg/L=,,,,,,,,,,,,,,,,,,,
T=,164.66666666666669,P=,2343.133333333333,SI=,,mg/L=,,,,,,,,,,,,,,,,,,,
T=,193.88888888888889,P=,3119.2777777777774,SI=,,mg/L=,,,,,,,,,,,,,,,,,,,
T=,223.11111111111111,P=,3895.422222222222,SI=,,mg/L=,,,,,,,,,,,,,,,,,,,
T=,252.33333333333334,P=,4671.566666666667,SI=,,mg/L=,,,,,,,,,,,,,,,,,,,
T=,281.55555555555554,P=,5447.711111111111,SI=,,mg/L=,,,,,,,,,,,,,,,,,,,
T=,310.77777777777777,P=,6223.855555555556,SI=,,mg/L=,,,,,,,,,,,,,,,,,,,
T=,340,P=,7000,SI=,,mg/L=,,,,,,,,,,,,,,,,,,,
*This is the amount of halite that would have to precipitate at the T and P for the brine to be at equilibrium with halite solid.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
